
CCTV,#genre#
湖南金鹰卡通,http://223.110.251.152:6610/cntv/live1/jinyingkaton/jinyingkaton
江苏优漫卡通,http://223.110.251.152:6610/cntv/live1/youmankaton/youmankaton
广东嘉佳卡通,http://223.110.251.152:6610/gitv/live1/G_JIAJIA/G_JIAJIA/
上海哈哈炫动,http://223.110.251.152:6610/gitv/live1/G_XUANDONG/G_XUANDONG/
湖南金鹰卡通,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221227018/index.m3u8
福建少儿,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226960/index.m3u8
福建少儿,rtsp://183.252.166.199/PLTV/88888888/224/3221226120/10000100000000060000000002358082_0.smil
福建少儿,http://player.ioioz.com/1786/fj/fjtvm3u8.php?id=fjtv9
河北少儿科教,http://live6.plus.hebtv.com/sekjx/hd/live.m3u8
新疆少儿,http://livehyw5.chinamcache.com/hyw/zb12.m3u8
黑龙江少儿,http://stream3.hljtv.com/hljse2/sd/live.m3u8
广东少儿,http://player.ioioz.com/1786/gd/gdtvm3u8.php?id=gdse
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel08/1080p.m3u8
浙江少儿,http://yd-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江少儿,http://yd-m-l.cztv.com/channels/lantian/channel08/1080p.m3u8
浙江少儿,http://125.210.152.21:9120/live/ZJSE.m3u8
山东少儿,http://livealone302.iqilu.com/iqilu/sepd.m3u8
宁波少儿,http://player.ioioz.com/1786/zj/ningbom3u8.php?id=ningbo5
海南少儿,http://player.ioioz.com/1786/hainan/hainanm3u8.php?tv=hainan&id=9
济南少儿,http://player.ioioz.com/1786/hoge/hogechm3u8.php?tv=jinan&id=11
内蒙古少儿,http://live5.m2oplus.nmtv.cn/4/sd/live.m3u8
重庆少儿,http://219.153.252.50/PLTV/88888888/224/3221225625/chunklist.m3u8
